ボイ,月並
月並,意味
意味,妙
洋行,金
過去,洒落
客,感服
洋行,真面目
なめくじ,ソップ
ソップ,話
話,蛙
蛙,シチュ
シチュ,形容
趣向,冒頭
冒頭,本論
主人,好奇的
なめくじ,蛙
蛙,トチメンボー
トチメンボー,相談
妙,先生
先生,真面目
主人,麁忽
客,謝罪
ボイ,トチメンボー
トチメンボー,二人前
二人前,ボイ
ボイ,メンチ
メンチ,ボー
ボー,先生
先生,真面目
真面目,メンチ
メンチ,ボー
ボー,トチメンボー
トチメンボー,料理
先生,沈着
沈着,西洋
西洋,洋行
洋行,口
口,トチメンボー
ボイ,滑稽
滑稽,思案
思案,気の毒
気の毒,トチメンボー
トチメンボー,生憎
生憎,メンチ
メンチ,ボー
ボー,二人前
二人前,先生
先生,非常
非常,残念
残念,様子
トチメンボー,都合
都合,ボイ
ボイ,二十銭
二十銭,銀貨
銀貨,ボイ
ボイ,料理番
料理番,相談
ボイ,生憎
生憎,御誂
御誂,時間
時間,先生
先生,正月
正月,ひま
ひま,ポッケット
ポッケット,葉巻
葉巻,ぷかりぷかり
ぷかりぷかり,懐
懐,日本
日本,新聞
新聞,ボイ
ボイ,奥
主人,戦争
戦争,通信
通信,意気込
意気込,席
ボイ,トチメンボー
トチメンボー,材料
材料,払底
払底,亀屋
亀屋,横浜
横浜,十五番
十五番,当分
当分,生憎
生憎,気の毒
気の毒,先生
先生,御覧
御覧,遺憾
遺憾,調子
ボイ,気の毒
気の毒,材料
先生,材料
材料,ボイ
ボイ,返事
材料,日本
日本,俳人
俳人,先生
先生,ボイ
ボイ,えさ
えさ,横浜
横浜,気の毒
アンドレア・デル・サルト,一人
一人,愉快
二人,表
表,橡面坊
橡面坊,種
種,得意
敬服,至り
至り,午飯
午飯,時刻
咽喉,音
音,主客
承知の通り,文学
文学,美術
美術,好き
同志,せんだって
せんだって,朗読会
朗読会,組織
組織,毎月
毎月,一回
一回,会合
会合,方面
方面,研究
研究,一回
一回,去年
朗読会,節奏
節奏,詩歌
詩歌,文章
文章,風
初め,古人
古人,同人
同人,創作
古人,白楽天
白楽天,琵琶
蕪村,春風馬堤曲
せんだって,近松
近松,心中
近松,浄瑠璃
近松,戯曲
戯曲,家
家,近松
主人,頭
藪,睨み
睨み,自認
自認,人間
人間,世の中
世の中,誤謬
一人,朗読
朗読,役割
主意,作中
作中,人物
人物,同情
同情,性格
性格,発揮
発揮,手真似
白,時代
時代,主
御嬢さん,丁稚
丁稚,人物
衣装,書割
一回,成功
船頭,客
客,芳原
鼻,日の出
日の出,耳
耳,顔
登場,人物
人物,客
客,船頭
船頭,花魁
花魁,仲居
仲居,遣手
主人,花魁
花魁,顔
顔,仲居
仲居,遣手
遣手,見番
見番,術語
術語,明瞭
明瞭,智識
智識,質問
仲居,娼家
娼家,下婢
研究,仲居
仲居,茶屋
茶屋,下女
下女,遣手
遣手,女
女,部屋
部屋,助役
人物,仮色
仮色,癖
癖,遣手
遣手,仲居
仲居,茶屋
茶屋,隷属
隷属,遣手
遣手,娼家
娼家,起臥
見番,人間
人間,一定
一定,場所
場所,人間
人間,男
見番,男
頓珍漢,主人
花魁,法学
法学士,口髯
口髯,女
女,せりふ
花魁,癪
朗読,癪
主人,心配
癪,一回
東風,船頭
船頭,見番
船頭,催し
会場,女学生
女学生,下宿
下宿,朗読会
朗読会,探知
探知,会場
会場,窓
窓,傍聴
船頭,仮色
仮色,大丈夫
大丈夫,得意
得意,身振り
身振り,女学生
女学生,一度
一度,極り
極り,悪
悪,腰
腰,限り
一回,成功
成功,朗読会
朗読会,失敗
主人,正月
二回,奮発
